Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
Professor ka apaharan,,9.78938E+12,"Hergé, 1907-1983, artist ; author [person]",The adventures of Tintin,,India,New Delhi,Om Books International,2018,Children's fiction ; Comic or graphic novel
Program notes,"(No subtitle) -- ; 2000 AD ; Alien zoo -- ; Block mania -- ; Block war -- ; Complete Brian Bolland ; Covers, pinups and more by Brian Bolland -- ; Crime and punishment -- ; Face changers -- ; Father earth -- ; Full Earth crimes -- ; Judge Death -- ; Judge Death lives -- ; Judge Dredd. The complete Brian Bolland ; Land race -- ; Luna-1 War -- ; Night of the fog -- ; Outlaw -- ; Punks rule -- ; Requiem for an alien -- ; The Judge Child -- ; The Mega-City 5000 -- ; The Oxygen Board -- ; The Slay-Riders -- ; The cursed earth -- ; The day the law died -- ; The first Luna Olympics -- ; The forever crimes -- ; The ghost of Echo Bravo 4 -- ; The jigsaw man -- ; Tweak's story -- ; Walter the wobot --",9.78161E+12,"Bolland, Brian, artist [person] ; Wagner, John, 1949-, author [person]",,,United States of America,"San Diego, California",,2012,Comic or graphic novel ; Science fiction
Programmable soda,"1000 oceans ; Baker baker ; Beauty of speed ; Bouncing off clouds ; Caught a lite sneeze ; Comic book tattoo : narrative art inspired by the lyrics and music of Tori Amos ; Cornflake girl ; Crazy ; Crucify ; Devils and Gods ; Father Lucifer ; Flying Dutchman ; Girl ; Glory of the 80's ; God ; Gold dust ; Here, in my head ; Hey Jupiter ; Honey ; I can't see New York ; Jackie's strength ; Leather ; Lieee ; Little Amsterdam ; Little earthquakes ; Marianne ; Merman ; Mr. Zebra ; Northern lad ; Pandora's aquarium ; Past the mission ; Pirates ; Precious things ; Pretty good year ; Ribbons undone ; Roosterspur Bridge ; Scarlet's walk ; Silent all these years ; Siren ; Snow cherries from France ; Space dog ; Suede ; Sugar ; Sweet the sting ; Take to the sky ; Teenage hustling ; The beekeeper ; The waitress ; Toast ; Upside down ; Winter",9781582409641 ; 9781582409658 ; 9781582409665 ; 9781607060314,"Hoseley, Rantz [person] ; Amos, Tori [person]",,,United States of America,"Berkeley, California",Image Comics,2008,Comic or graphic novel
Project : romantic : an anthology dedicated to love and love stuff,Project romantic,9.78098E+12,"Pitzer, Chris [person]",,,United States of America,"Richmond, Virginia",AdHouse,2006,Comic or graphic novel
Project Kalki,,9.78193E+12,"Gaind, Arjun [person]",,,England ; United States of America,London ; New York,Diamond ; Virgin,2008,Comic or graphic novel ; Fiction ; Science fiction
Project Monarch,Greysuit. Project Monarch,9.78191E+12,"Higgins, John, 1949- [person] ; Mills, Pat [person]",,,England,Oxford,Rebellion,2011,Comic or graphic novel ; Fiction
Project Stardust,Scarlett Couture : Project Stardust,9.78178E+12,"Taylor, Des, 1971-, author ; illustrator [person]",Project Stardust,part 1 of 4 [Project Stardust],England,London,Titan Comics,2015,Comic or graphic novel ; Novel ; Spy story
Project Superman,Booster Gold: Turbulence ; Flash point ; Flashpoint : the world of Flashpoint featuring Superman ; The Canterbury cricket ; The world of Flashpoint featuring Superman ; World of Flashpoint,9781401234348 ; 9781781162415,"Snyder, Scott [person] ; Ha, Gene [person]",,,United States of America,New York,DC Comics,2012,Comic or graphic novel
Project X : Nissin cup noodle,,9.78157E+12,"Katoh, Tadashi [person] ; Imai, Akira [person]",,,England ; United States of America,"Carson, California ; London",Diamond ; Digital Manga,2006,Comic or graphic novel ; Fiction ; Novel
Project aquarius and other stories,,9.7819E+12,"Petrucha, Stefan [person] ; Adlard, Charles, 1966- [person]",,,England,London,Manga,1996,Comic or graphic novel
Project romantic,Project : romantic : an anthology dedicated to love and love stuff,9.78098E+12,"Pitzer, Chris [person]",,,United States of America,"Richmond, Virginia",AdHouse,2006,Comic or graphic novel
Project superpowers,,9.78193E+12,"Ross, Alex, 1970- [person] ; Krueger, Jim [person] ; Paul, Carlos [person] ; Sadowski, Stephen [person]",,,England ; United States of America,"London ; Runnemede, New Jersey",Diamond ; Dynamite Entertainment,2008,Comic or graphic novel
Prom pranks and other stories,Works. Selections,9.78162E+12,"Montana, Bob, author [person]",Archie archives,,United States of America,Milwaukie,Dark Horse,2015,Comic or graphic novel ; Fiction
Promethea,,9.78156E+12,"Gray, Mick [person] ; Williams, J. H., iii [person] ; Moore, Alan, 1953- [person]",,,England ; United Kingdom,"La Jolla, California",America's Best Comics,2000,Comic or graphic novel ; Fantasy ; Fiction
Prometheus : the complete fire and stone,,9.78162E+12,"DeConnick, Kelly Sue, author [person] ; Tobin, Paul, 1965-, author [person]",,,United States of America,Milwaukie,Dark Horse,2015,Comic or graphic novel ; Fiction
Promise,"Avatar, the last airbender (Television program) ; Avatar, the last airbender. The promise ; Nickelodeon",9.78162E+12,"Heisler, Michael [person] ; Yang, Gene Luen, author [person] ; DiMartino, Michael Dante [person] ; Konietzko, Bryan [person] ; Nickelodeon (Firm) [organisation] ; Gurihiru, artist [organisation]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2013,Adventure ; Children's fiction ; Comic or graphic novel ; Fantasy ; Novel
Promised land,,9.7813E+12,"Hughes, Adam, 1967-, artist [person] ; Romero, Leonardo, artist [person] ; Waid, Mark, 1962-, author [person]",Captain America. Mark Waid,,United States of America,New York,Marvel Worldwide,2018,Comic or graphic novel ; Fiction ; Science fiction
Proper posture,"Careful with money ; Crime alley ; Eyes open, mouth shut ; Gems #44. The kidnapping of Mr. Rich ; Gems #45. Haunted Rich castle ; Gloria's riddle ; His great grandfather's ghost ; Meet Penny van Dough ; Richie Rich gems : treasures ; Robot gone wild ; The revolting butler ; Uncommon cents ; Welcome to Rich rescue",9.78194E+12,"Colón, Ernie [person] ; Jacobson, Sidney [person]",,,United States of America,"San Diego, California",Ape Entertainment,2012,Comic or graphic novel
Prophecy,,,"Marz, Ron, author [person] ; Geovani, Walter, artist [person]",,,United States of America,"Mount Laurel, New Jersey",Dynamite Entertainment,2013,Comic or graphic novel
Prophets,Legion. Prophets,9.7816E+12,"Stewart, Scott (Scott Charles) [person] ; Waltz, Tom [person] ; Muriel, Alberto [person]",,,United States of America,"San Diego, California",,2009,Comic or graphic novel ; Fantasy
Prospero rising,"Mono : The old curiosity shop, Pacific, Prospero rising. Volume one ; Mono. Volume one ; Old curiosity shop ; Pacific",9.78178E+12,"Brock, Tony, author [person] ; Wood, Brian, 1972-, author [person] ; Gianni, Gary, illustrator [person] ; Sandoval, Sergio (Sergio Sandoval Martinez), 1975-, illustrator [person] ; Wolstenholme, Ben, author ; illustrator [person] ; Sharp, Liam, author [person]",,,England,London,Titan Comics,2015,Comic or graphic novel
Protector of the green,,9.7814E+12,"Paquette, Yanick, artist [person] ; Snyder, Scott, author [person]",Swamp Thing,,United States of America,"Burbank, California",DC Comics,2019,Comic or graphic novel ; Fiction
Proteus,,9.78079E+12,"Bright, M. D. (Mark D.) [person] ; Bolton, John, 1951- [person] ; Claremont, Chris, 1950- [person] ; Byrne, John, 1950- [person]",X-men,,England ; United States of America,London ; New York,Diamond ; Marvel,2009,Comic or graphic novel ; Fiction
Protocol : orphans,,9.78161E+12,"Navarro, Mariano, 1972-, artist [person] ; Nelson, Michael Alan, author [person] ; DeFranco, Rob, creator [person] ; Facinelli, Peter, 1973-, creator [person]",,,United States of America,"Los Angeles, California",Boom! Studios,2014,Comic or graphic novel ; Fiction
Prototype 2,,9.7816E+12,"Jolley, Dan [person] ; Díaz, Paco [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2012,Comic or graphic novel
Prototype,,9781401226718 ; 9781848566460,"Palmiotti, Jimmy [person] ; Gray, Justin, writer [person] ; Jacobs, Mark [person] ; Robertson, Darick [person]",,,England ; United States of America,"La Jolla, California ; London",Titan ; Wildstorm,2010,Comic or graphic novel ; Fiction ; Horror ; Mystery ; Novel ; Science fiction
Prowl,Police action ; Spotlight. Prowl ; The Transformers. Volume 6. Police action,9.78161E+12,"Shearer, Brian [person] ; Su, E. J. [person] ; Cahill, Brendan [person] ; Costa, Mike [person]",,,United States of America,"San Diego, California",,2012,Comic or graphic novel ; Science fiction
Proxima Centauri,,9.78153E+12,"Dalrymple, Farel, artist ; author [person]",,,United States of America,"Portland, Oregon",Image Comics,2019,Comic or graphic novel ; Fantasy ; Graphic ; Novel ; Science fiction
Psi files,2000 AD ; 2000 AD annual ; Judge Anderson: Psi files ; Judge Dredd annual ; Judge Dredd mega-special ; Judge Dredd megazine ; Judge Dredd yearbook,,"Ranson, Arthur [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",,,England,Oxford,Rebellion,2009,Comic or graphic novel ; Fiction
Psychopomp,2000 AD ; Sláine : the Brutania chronicles. Book three. Psychopomp,9.78178E+12,"Mills, Pat, author [person] ; Davis, S. B. (Simon B.), artist [person]",,,England,Oxford,Rebellion,2017,Comic or graphic novel ; Fantasy
Psychotic,Powers ; Powers: psychotic,9.78079E+12,"Oeming, Michael Avon [person] ; Bendis, Brian Michael [person]",,,United States of America,New York,Marvel Publishing,2006,Comic or graphic novel ; Detective and mystery ; Novel
Psyklops,Psyklops (Leicester),,,,,England,Leicester,Destronic,1992-,Comic or graphic novel
Psylocke,Uncanny X-men,9.78079E+12,"Tolibao, Harvey [person] ; Claremont, Chris, 1950- [person] ; Yost, Christopher [person]",X-men,,United States of America,New York,Marvel Worldwide,2010,Comic or graphic novel ; Fiction
Psyren,,,"Iwashiro, Toshiaki, 1977- [person]",,,United States of America,"San Francisco, California",Media,2011-,Comic or graphic novel ; Novel ; Translations into English
Public enemies,,9.78184E+12,"Vines, Dexter [person] ; McGuinness, Ed [person] ; Loeb, Jeph [person]",Superman/Batman,,England ; United States of America,"London ; Santa Monica, California",Titan,2004,Comic or graphic novel ; Fiction ; Science fiction
Public enemy number one,,,"Berlin, Jasper [person] ; Fieber, Martin, musician [person]",,,England,London,Trivia Press,1977,Comic or graphic novel
Public scrutiny,Double trouble ; Legacy ; Ultimate Spider-Man : trilogy collection,9781904159421 ; 9781904159827 ; 9781904159872 ; 9781905239924,"Bagley, Mark [person] ; Bendis, Brian Michael [person]",Marvel graphic novel,,England,Tunbridge Wells,Panini Pub,2008,Comic or graphic novel ; Fiction
Public works,Blood in the game ; Body of a journalist ; Collective punishment ; DMZ ; Five nations of New York ; Free states rising ; Friendly fire ; Hearts and minds ; Hidden war ; M.I.A ; On the ground ; War powers,,"Kelly, Ryan, 1976- [person] ; Burchielli, Riccardo [person] ; Wood, Brian, 1972- [person]",,,United States of America,New York,DC Comics,2006-2012,Comic or graphic novel
Pucker mother,,,"White, Barrie, author [person]",,,England ; United Kingdom,,,1990,Comic or graphic novel
Puerto Rico strong,,9.78155E+12,"Colón, Rosa, artist [person] ; Gil, Joamette, author [person] ; Ayala, Vita, author [person] ; Nicieza, Fabian, author [person]",,,United States of America,St Louis,Lion,2018,Comic or graphic novel ; Fiction
Pug : an original graphic novel,,9.78161E+12,"McCulloch, Derek, 1964- [person] ; Espinoza, Greg [person]",,,United States of America,"Berkeley, California",Image Comics,2010,Comic or graphic novel ; Fiction ; Novel
Pulp comix,,,,,,England ; United Kingdom,,Pulp Productions,1979-,Comic or graphic novel
Pulse of power,Anne Elizabeth's Pulse of power,9.78161E+12,"Kwitney, Alisa, 1964- [person] ; Fiorito, Márcio [person] ; Elizabeth, Anne [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2010,Comic or graphic novel ; Fantasy ; Fiction
Punch and Judy comic,,,,,,England,London,Newgate Press,1949,Children's fiction ; Comic or graphic novel
Punching the clock,Capes. Punching the clock,9.78158E+12,"Englert, Mark [person] ; Kirkman, Robert [person]",,,England ; United States of America,"Berkeley, California ; London",Diamond ; Image Comics,2007,Comic or graphic novel ; Fiction
Punching up,,9.78179E+12,"Abrego, Rii, artist [person] ; Cogar, Whitney [person] ; Farina, Katy, artist [person] ; Sugar, Rebecca, 1987- [person] ; Fiorentino, Mike [person] ; Kraft, Grace, author [person] ; Gillman, Melanie, author [person] ; Omac, Meg, artist [person]",Steven Universe,volume 2 [Steven Universe],England,London,Titan Comics,2018,Children's fiction ; Comic or graphic novel
Punisher : Back to the war omnibus,Works. Selections,9.7813E+12,"Conway, Gerry, author [person] ; Wein, Len, author [person] ; Andru, Ross, artist [person]",,,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction
Punisher : Soviet,,9.7813E+12,"Burrows, Jacen, artist [person] ; Ennis, Garth, author [person]",,,United States of America,New York,Marvel Worldwide,2020,Comic or graphic novel ; Fiction ; Science fiction
Punisher Kill Krew,,9.7813E+12,"Ferreyra, Juan, artist [person] ; Duggan, Gerry, author [person]",,,United States of America,New York,Marvel Worldwide,2020,Comic or graphic novel ; Fiction ; Science fiction
Punisher Max,Up is down and black is white,9.78079E+12,"Hanna, Scott [person] ; Ennis, Garth [person] ; Fernandez, Leandro [person]",,,England ; United States of America,London ; New York,Marvel ; Red Route,2006,Comic or graphic novel ; Fiction
Punisher Noir,,9.78079E+12,"Azaceta, Paul [person] ; Tieri, Frank [person] ; Girner, Sebastian [person]",,,United States of America,New York,Marvel Worldwide,2010,Comic or graphic novel ; Fiction ; Science fiction
Punisher by Garth Ennis omnibus,,9.7813E+12,"Ennis, Garth, author [person] ; Quesada, Joe, artist [person] ; Dillon, Steve, artist [person]",,,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction
Punisher epic collection : Jigsaw puzzle,,9.7813E+12,"Baron, Mike, 1949-, author [person] ; Dixon, Chuck, 1954-, author [person] ; Wright, Gregory, author [person]",,,United States of America,New York,Marvel Worldwide,2020,Comic or graphic novel ; Fiction ; Science fiction
Punisher max,,9.78079E+12,"Aaron, Jason, author [person] ; Dillon, Steve, artist [person]",,,United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction ; Science fiction
Punisher noir,,9.78079E+12,"Tieri, Frank, author [person] ; Azaceta, Paul, artist [person]",,,United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction ; Science fiction
Punisher omnibus,,9.78079E+12,"Way, Daniel, 1974- [person] ; Liu, Marjorie M. [person] ; Remender, Rick [person]",,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,Comic or graphic novel ; Fiction
Punisher presents Barracuda Max,Barracuda Max ; The Punisher presents Barracuda,9.78079E+12,"Ennis, Garth [person] ; Parlov, Goran [person]",,,United States of America,New York,Marvel Publishing,2007,Comic or graphic novel ; Novel
Punisher war journal,,9.7813E+12,"Lee, Jim, 1964-, artist [person] ; Potts, Carl, author [person] ; Baron, Mike, 1949-, author [person]",,,United States of America,New York,Marvel Worldwide,2016,Comic or graphic novel ; Fiction ; Science fiction
Punisher,,9.78079E+12,"Texeira, Mark [person] ; Tieri, Frank [person]",Space,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,Comic or graphic novel ; Fiction ; Science fiction
PunisherMax,Kingpin ; Punisher Max. Kingpin,9780785140719 ; 9780785145967,"Aaron, Jason [person] ; Dillon, Steve [person] ; Alonso, Axel [person] ; Girner, Sebastian [person]",,,United States of America,New York,Marvel Worldwide,2010,Comic or graphic novel ; Novel ; Science fiction
Punishment,,9.7813E+12,"Remender, Rick, author [person] ; Way, Daniel, 1974-, author [person]","Daken, Dark Wolverine",,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction
Punjab the Wizard,And a blind man shall lead them ; Darkest hour is just before dawn ; Death be thy name ; Harold Gray's Little Orphan Annie ; House divided (or does fate trick Trixie?) ; Junior commandos ; Last port of call ; Omnipotent Mr. Am ; One-way road to justice ; Saints and cynics ; Spies and counterspies ; The complete Little Orphan Annie ; Will tomorrow ever come?,,"Gray, Harold, 1894-1968 [person]",The library of American comics,,United States of America,"San Diego, California",,2008-,Comic or graphic novel
Punk rock Jesus,,9.7814E+12,"Murphy, Sean Gordon, 1980-, artist ; author [person]",,,United States of America,New York,Vertigo,2013,Comic or graphic novel ; Fiction ; Novel
Punky Brewster,,9.78163E+12,"Vamos, Lesley, artist [person] ; Sellner, Joelle, author [person]",,,United States of America,"San Diego, California",Lion,2015,Comic or graphic novel
Puppet master,Modesty Blaise : the puppet master,9.78184E+12,"O'Donnell, Peter, 1920-2010 [person] ; Romero, Enrique, 1930- [person]",,,England,London,Titan,2006,Comic or graphic novel ; Fiction
Puppetoons,George Pal's puppetoons,,,,,England,London,L. Miller,1951-1951,Comic or graphic novel
Puppy party,,9781629916088 ; 9781629916095,"Robado, Maria Victoria, 1986-, artist [person] ; Davidson, Danica, author [person]",Barbie puppies,,United States of America,New York,Papercutz,2017,Children's fiction ; Comic or graphic novel
Pure heart,,,"Fujiyama, Hyouta [person]",,,United States of America,"Gardena, California",Juné,2009-,Comic or graphic novel ; Fiction ; Novel ; Romance fiction
Pure insanity,New Suicide Squad. Volume 1. Pure insanity,9.7814E+12,"Esposito, Taylor, illustrator [person] ; Roberts, Jeremy (Jeremy Patrick), illustrator [person] ; Hunter, Rob, 1971-, illustrator [person] ; Blond, illustrator [person] ; Derenick, Tom, illustrator [person] ; Sharpe, Dave, letterer [person] ; Ryan, Sean, 1982-, author [person]",,,United States of America,"Burbank, California",DC Comics,2015,Comic or graphic novel ; Novel
Pure paisley,,,,,,England,East Herrington,Pure Paisley Productions,1986-,Comic or graphic novel
Pure viewing satisfaction,Walt Disney's Uncle $crooge ; Walt Disney's Uncle Scrooge,9.78163E+12,,Disney comics ; Walt Disney's Uncle Scrooge,,United States of America,"San Diego, California",,2015,Children's fiction ; Comic or graphic novel
Pureheart the Powerful,Archie. Pureheart the Powerful ; Archie. Pureheart the Powerful. Volume 1,9.7816E+12,"Vogoda, Bill [person] ; Doyle, Frank, 1917-1996 [person] ; White, Bob, 1902-1985 [person]",,,United States of America,"San Diego, California",,2010,Comic or graphic novel ; Fiction
Pureland,Air ; Flying machine ; History of the future ; Letters from lost countries,,"Perker, M. K., 1972- [person] ; Wilson, G. Willow, 1982- [person]",,,United States of America,New York,DC Comics,2009-2011,Comic or graphic novel ; Novel
Purgatory kabuki,,9.7816E+12,"Suzuki, Yasushi [person]",,,England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2008,Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction
Purgatory,,9.78143E+12,"Jolley, Dan [person] ; Yapur, Diego [person]",Priest,,England ; United States of America,"London ; Los Angeles, California",Tokyopop,2010,Comic or graphic novel ; Fiction ; Horror
Puri Puri,,9.7816E+12,"Taro, Chiaki [person]",,,England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2007,Comic or graphic novel ; Fiction ; Novel
Purification plague,,9.7814E+12,"Michelinie, David, author [person]",,,United States of America,"Burbank, California",DC Comics,2018,Comic or graphic novel ; Fiction
Purple daughter,,9.7813E+12,"De Iulis, Mattia, artist [person] ; Thompson, Kelly, author [person]",Jessica Jones,,United States of America,New York,Marvel Worldwide,2019,Comic or graphic novel ; Fiction ; Suspense
Purple nurples,Lenore. Purple nurples ; Roman Dirge's Lenore. Purple nurples,9.78185E+12,"Dirge, Roman, artist ; author [person]",,,England,London,Titan,2013,Comic or graphic novel ; Horror ; Novel
Pursuit of pesos,"Golden caller ; Hello fellow hostages, are you ready to rock ; Hello fellow hostages, are you ready to rock? ; Jerk in the jungle ; Ma ma my irona ; Pursuit of pesos & other stories! ; Pursuit of pesos and other stories! ; Richie Rich in the pursuit of pesos & other stories! ; The golden caller ; The pursuit of pesos",9.78194E+12,"Scalera, Buddy, 1967- [person] ; Anderson, Matt, writer [person] ; Newman, Ralph, writer [person] ; DeFalco, Tom [person]",Richie Rich: Rich rescue digest,volume 2 [Richie Rich: Rich rescue digest],United States of America,"San Diego, California","Ape Entertainment, L.L.C",2012,Comic or graphic novel
Puzz Fundles,Rick Veitch's The One ; The One : plus Puzz Fundles,9.78168E+12,"Veitch, Kirby [person] ; Veitch, Rick, artist ; author [person]",,,United States of America,"San Diego, California","Idea & Design Works, LLC",2018,Comic or graphic novel ; Novel ; Science fiction
Puzzling path,Big-cub bike ; Get well soon ; Kite tail ; Share Bear's tea party,9.78194E+12,"Miller, Kayla [person] ; Dukes, Rachel [person] ; Ball, Georgia [person] ; Bennett, Deron [person] ; Moore, Lisa, colorist [person] ; Gillman, Melanie, artist [person]",Care Bears,volume 2 [Care Bears],United States of America,"St Louis, Missouri",Roar Comics,2017,Comic or graphic novel
PvP silent but deadly,Silent but deadly,9.78161E+12,"Kurtz, Scott R. [person]",Pvp,volume 6 [Pvp],United States of America,"Berkeley, California",Image Comics,2009,Comic or graphic novel
Pygmalion,"Alice in Wonderland; or, A.L.I.C.E ; Beauty and the beast ; Chang'e ; Cinderella ; Dr. Frankenstein's lab ; Goldilocks & the Three Bears; or, Silver-Hair & the Three Xairs ; Hansel and Gretel; or, Bombus and Vespula ; Humpty Dumpty ; Jack and the Beanstalk ; John Henry ; Kid Yimage and the really big hole ; Momotaro; or, The peach-pit boy ; Once upon a time machine ; One thousand and one nights; or, 1001 ; Peter Pan and Captain Hook ; Peter and the wolf ; Pinocchio ; Pinocchio; or, The stars are not wanted now ; Rapunzel ; Red Riding Hood ; Rikki-Tikki-Tavi ; Rip Van Winkle ; Santa Claus ; Snow White and the Seven Dwarves ; Sweet porridge; or, Sweet science ; The billy goats gruff; or, The crossing ; The boy who cried wolf; or, The Venusian shepherd boy who cried space wolf ; The boy who drew cats ; The five Chinese brothers ; The frog prince ; The genie in the lamp ; The gingerbread man ; The gold piece; or, A destiny earned ; The headless horseman ; The hunchback of Notre-Dame ; The last leaf ; The lion and the mouse; or, Caged ; The little mermaid ; The puppet show man; or, No strings ; The shepherd and the weaver girl ; The three little pigs ; The three musketeers ; The tortoise and the hare; or, The Tea Garden Park Soapbox Grand Prix ; The ugly duckling; or, The ugly part ; Three little pigs ; Tinkerbell and friends ; Unicorns ; Vasilissa the beautiful",9.78162E+12,"Carl, Andrew [person] ; Alexander, Tara [person] ; Stevens, Chris, artist [person] ; Evergreen, Nelson, 1971- [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2012,Adaptation ; Comic or graphic novel ; Novel
Quake champions,,9.78179E+12,"V, Ram [person] ; Ross, Dave, artist [person] ; Quah, Alan, artist [person]",,,England,London,Titan Comics,2018,Comic or graphic novel ; Novel
Qualification : a graphic memoir in twelve steps,,9.78038E+12,"Heatley, David, author [person]",Pantheon graphic library,,United States of America,New York,Pantheon,2019,Biography ; Comic or graphic novel ; Humour or satire ; Novel
Quarantine zone,,9.7814E+12,"Pasarin, Fernando, illustrator [person] ; Mounts, Paul, illustrator [person] ; Carnevale, Massimo, illustrator [person] ; Ryan, Matt, illustrator [person] ; Wilson, Daniel H. (Daniel Howard), 1978-, author [person]",,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel
Quarantine,,9.78079E+12,"Land, Greg [person] ; Fraction, Matt [person]",The uncanny X-men,,England ; United States of America,London ; New York,Marvel ; Turnaround,2011,Comic or graphic novel ; Fiction
Quatermain,,9.78145E+12,"Griffith, Clay [person] ; Carbajal, Patricio [person] ; Griffith, Susan, 1963- [person]",,,England ; United States of America,"Bellingham, Washington ; London",Bluewater ; Diamond,2011,Adventure ; Comic or graphic novel ; Fiction ; Novel
Quatre des Baker Street,Monde de Quatre de Baker Street ; The Baker Street Four. Vol. 4,9.78168E+12,"Bence, Mark, translator [person] ; Etien, David, 1981-, artist [person] ; Djian, Jean-Blaise, 1953- [person] ; Djian, Jean-Blaise, 1953-, author [person] ; Legrand, Olivier, 1968-, author [person]",,,United States of America,"San Rafael, California",Insight Comics,2018,Comic or graphic novel ; Fiction
Quatre soeurs,Four sisters. 2. Hortense ; Hortense ; Quatre soeurs. Hortense. English,9.78168E+12,"Gauvin, Edward, translator [person] ; Ferdjoukh, Malika [person] ; Balandras, Élodie, artist [person] ; Baur, Cati, 1973-, artist ; author [person]",,,United States of America,"San Diego, California",EuroComics,2019,Comic or graphic novel ; Domestic fiction ; Fiction ; Novel
Queen Bee,,9.78044E+12,"Clugston-Major, Chynna [person]",,,England,London,Scholastic,2007,Children's fiction ; Comic or graphic novel
Queen Margot,,9781905460106 ; 9781905460199 ; 9781905460410,"Gheysens, François, author [person] ; Derenne, Juliette [person] ; Derenne, Juliette, illustrator [person] ; Cadic, Olivier, 1962- [person] ; Gheysens, François [person]",,,England,Ashford,Cinebook,2006-2008,Comic or graphic novel ; Historical fiction ; Novel ; Young adult fiction
Queen Sonja,,9.78161E+12,"Rubi, Mel [person] ; Ortega, Joshua [person]",Red Sonja,volume 9 [Red Sonja],England ; United States of America,"London ; Runnemede, New Jersey",Diamond ; Dynamite Entertainment,2010,Comic or graphic novel ; Fiction ; Science fiction
Queen Street,,9.78199E+12,"Chateauneuf, Emmanuelle, artist ; author [person]",,,Canada,Toronto,Chapterhouse Publishing,2017,Comic or graphic novel ; Fiction ; Novel
Queen for one less day,Applewood follies ; Everything old ; Friendship is magic. Volume 15 ; Tempest's tale,9.78168E+12,"Anderson, Ted, 1985- [person] ; Breckel, Heather [person] ; Whitley, Jeremy [person] ; Zahler, Thomas F. [person] ; Price, Andy, artist [person] ; Uyetake, Neil [person] ; Curnow, Bobby, editor [person] ; Fleecs, Tony, 1979-, artist [person]",My little pony,,United States of America,"San Diego, California",,2018,Children's fiction ; Comic or graphic novel
Queen of hell,,9.78163E+12,"Martin, Jason P., author [person] ; D'Andria, Nicole, editor [person] ; Maccagni, Marco, 1987-, artist [person] ; Costa, Marcelo, colorist, artist [person]",Vampblade,8 [Vampblade],United States of America,Ashland,Action Lab,2018,Comic or graphic novel ; Fiction ; Horror
Queen of palm court,Stray bullets. Part three. 'The queen of palm court' ; Stray bullets: Sunshine & roses. Part 3. 'The queen of palm court',9.78153E+12,"Lapham, David, artist ; author [person] ; Lapham, Maria, editor [person]",,,United States of America,"Portland, Oregon",Image Comics,2018,Comic or graphic novel ; Detective and mystery
Queen of plagues,Red Sonja. Volume one. Queen of plagues,9.78161E+12,"Simone, Gail, author [person] ; Geovanni, Walter, artist [person]",,,United States of America,"Mount Laurel, New Jersey",Dynamite Entertainment,2014,Comic or graphic novel ; Fiction ; Science fiction
Queen of storms,,9.78185E+12,"Pizzari, Luca, artist [person] ; Hendrick, Dave, author [person]",Granuaile,,Ireland,Dublin,O'Brien Press,2015,Comic or graphic novel ; Fiction ; Historical fiction
Queen of the Black Coast,,9.78162E+12,"Wood, Brian [person] ; Harren, James, 1986- [person] ; Cloonan, Becky [person]",Conan,volume 13 [Conan],England ; United States of America,"London ; Milwaukie, Oregon",Dark Horse ; Diamond,2013,Comic or graphic novel ; Fiction
Queen of the Nile,,9.78152E+12,"Silke, James R., artist ; author [person]",Bettie Page,,United States of America,Mount Laurel,Dynamite Entertainment,2020,Adventure ; Comic or graphic novel ; Fiction ; Novel
Queen of the swords,Chronicles of Corum. The queen of the swords ; The chronicles of Corum. Volume 2. The queen of the swords,9.78178E+12,"Jones, Kelley, 1962-, artist [person] ; Spiegle, Carrie [person] ; Mignola, Mike, artist [person] ; Guice, Jackson, artist [person] ; Baron, Mike, 1949-, author [person] ; Burchett, Rick, artist [person] ; Thornhill, Ripley [person]",The Michael Moorcock library,,England,London,Titan Comics,2018,Comic or graphic novel
Queen of the zombies,2000 AD ; Defoe. Queen of the zombies,9.78191E+12,"Gallagher, Leigh [person] ; Mills, Pat [person]",,,England,Oxford,Rebellion,2011,Comic or graphic novel ; Fiction ; Horror
Queen,Code Geass. Lelouch of the rebellion. Queen ; Code Geass. Queen,,"Aduma, Yuki [person] ; Misakura, Nankotsu [person] ; Mikimoto, Haruhiko, 1952- [person] ; Fujima, Takuya [person]",,,United States of America,"Cypress, California",Bandai Entertainment,2010-,Comic or graphic novel ; Fiction ; Short story
